Navn Kjønn
Ábal M
Abbey Kv
Abbi Kv
Abbie Kv
Abby Kv
Abel M
Abi Kv
Abigail Kv
Abraão M
Ábraham M
Ábram M
Absalon M
Achille M
Adalberto M
Aðalbjørg Kv
Aðalborg Kv
Aðalgeir M
Aðalgunn Kv
Aðalheiður Kv
Aðallín Kv
Aðalstein M
Aðalsteinn M
Adam M
Ádam M
Adán M
Adão M
Adelaida Kv
Adelaide Kv
Adèle Kv
Adolf M
Adolfo M
Adrian M
Adriana Kv
Adriana Kv
Adriano M
Adrianus M
Adrien M
Adriaan M
Aedan M
Aerjen M
Afonso M
Agaton M
Agda Kv
Aggusteinus M
Agnar M
Agnas Kv
Agnes Kv
Agnese Kv
Agostinha Kv
Agostinho M
Agostino M
Ágúst M
Ágústa Kv
Agustin M
Aida Kv
Aidan M
Aiden M
Ailsa Kv
Aimee Kv
Aine Kv
Aino Kv
Aisling Kv
Aitana Kv
Aitor M
Áki M
Aksal M
Aksel M
Akseli M
Alan M
Alana Kv
Alanna Kv
Alannah Kv
Alasdair M
Alba Kv
Alban M
Albert M
Albert M
Alberta Kv
Alberto M
Albèrto M
Albin M
Albjørg Kv
Alborg Kv
Alda Kv
Alda Kv
Aldis Kv
Aldís Kv
Aldo M
Alec M
Aleesha Kv
Alejandra Kv
Alejandro M
Aleks M
Aleksandra Kv
Aleksandur M
Aleksanteri M
Aleksi M
Alessandra Kv
Alessandro M
Alessia Kv
Alessio M
Alex Kv
Alex M
Alexa Kv
Alexandre M
Alexia Kv
Alexis Kv
Alexis M
Alexy M
Aleyna Kv
Aleyna Kv
Alfie M
Alfio M
Alfonso M
Alfred M
Alfredo M
Alfríð Kv
Alice Kv
Alicia Kv
Alicia Kv
Alie Kv
Alina Kv
Aline Kv
Alíosio M
Alisa Kv
Alisha Kv
Alison Kv
Alissa Kv
Alistair M
Alix Kv
Alix M
Allan M
Allan M
Alma Kv
Aloïs M
Altin M
Alvaro M
Álvaro M
Álvdis Kv
Álvfinnur M
Álvgeir M
Álvgerð Kv
Álvheðin M
Álvheiður Kv
Álvhild Kv
Alvi M
Alvin M
Álvur M
Alycia Kv
Alyssa Kv
Alyssia Kv
Amadeo M
Amadeus M
Amadeus M
Amal Kv
Amalia Kv
Amalja Kv
Amanda Kv
Amandine Kv
Amaury M
Amber Kv
Ambre Kv
Amel Kv
Amelia Kv
Amelie Kv
Amélie Kv
Amie Kv
Amira Kv
Amparo Kv
Ámundur M
Amy Kv
Ana Kv
Anaëlle Kv
Anaïs Kv
Ánania Kv
Ánanias M
Anas M
Anastasia Kv
Anastacia Kv
Andras M
Andrea Kv
Andrèa M
Andres M
Andrés M
Andrew M
Andri M
Andrias M
Andy M
Angel Kv
Angel M
Ángel M
Ángela Kv
Àngela Kv
Angela Kv
Angeles Kv
Angelica Kv
Angelika Kv
Angelika Kv
Angelina Kv
Angélique Kv
Àngelo M
Angus M
Ánias M
Anis M
Anissa Kv
Anita Kv
Aníta Kv
Anja Kv
Anke Kv
Annabel Kv
Annabelle Kv
Annalena Kv
Anna-Lena Kv
Annamaria Kv
Annelies Kv
Annelore Kv
Anni Kv
Annie Kv
Anniina Kv
Annika Kv
Annoek Kv
Annunziata Kv
Anný Kv
Anoek Kv
Anouk Kv
Ansgar M
Ansje Kv
Antão M
Antero M
Anthony M
Antines M
Antinis M
Antje Kv
Antoine M
Anton M
Antonia Kv
Antónia Kv
Antònia Kv
Antoniétta Kv
Antonin M
Antonina Kv
Antonio M
Antonio M
Antònio M
Antonius M
Antony M
Antti M
Anya Kv
Aoibhe Kv
Aoibheann Kv
Aoibhinn Kv
Aoife Kv
Apolline Kv
Apollonia Kv
Apolo M
Apolonia Kv
Apolónia Kv
Apolonio M
Apolónio M
Ápraham M
Ápram M
April Kv
Aprilia Kv
Araceli Kv
Árant M
Archibald M
Archie M
Ari M
Ári M
Ariadna Kv
Arina Kv
Arinbjørn M
Arjan M
Armand M
Armando M
Armgarð Kv
Armin M
Armínio M
Arna Kv
Árna Kv
Arnaldur M
Arnar M
Arnau M
Arnaud M
Arnbjørg Kv
Arnbjørn M
Arnborg Kv
Arndis Kv
Arndís Kv
Arndór M
Arnfinnur M
Arnfríð Kv
Arnfríður M
Arngerð Kv
Arngrímur M
Arngunn Kv
