 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Aaron;25;19;19;19;20;21;13;29;24;13;
Abdi;:;5;5;4;6;4;6;4;10;8;
Abdirahman;15;25;20;24;23;32;28;23;28;27;
Abdul;8;8;9;12;5;13;20;15;17;10;
Abdullah;15;18;19;17;11;27;14;18;19;14;
Abdullahi;13;11;7;9;9;16;11;15;11;16;
Abel;27;21;17;6;10;15;8;6;13;5;
Adam;131;131;140;136;123;117;101;94;98;82;
Adnan;12;6;9;:;7;10;10;8;7;5;
Adrian;254;280;318;352;390;409;390;378;408;465;
Agnar;10;6;:;:;5;:;:;:;:;:;
Ahmad;7;15;13;23;14;19;18;11;16;23;
Ahmed;27;43;39;35;46;46;40;47;42;42;
Aiden;17;19;14;13;10;11;8;9;:;:;
Ailo;31;46;45;37;17;16;14;12;:;:;
Aksel;306;253;223;241;264;237;146;153;129;118;
Alan;23;28;31;20;25;20;21;25;20;21;
Albert;81;70;73;84;61;60;65;54;54;30;
Albin;5;:;5;9;4;7;10;8;4;6;
Aleksander;106;120;138;141;155;169;154;202;203;176;
Alex;27;29;29;36;35;43;31;27;28;20;
Alexander;191;257;272;258;262;344;278;300;322;311;
Alf;13;8;11;13;11;12;9;9;8;8;
Alfred;113;107;85;84;62;49;42;42;37;32;
Ali;38;49;50;46;55;46;39;51;50;56;
Allan;4;:;:;5;7;6;10;:;6;:;
Alvar;6;14;:;7;5;:;6;:;6;9;
Alvin;32;35;31;38;33;28;26;22;15;10;
Amadeus;9;5;4;11;8;:;7;11;9;6;
Amandus;7;11;8;9;8;7;5;10;13;14;
Amar;7;7;7;6;11;6;4;6;9;:;
Amin;11;12;10;11;14;9;9;5;7;12;
Amir;22;28;25;33;32;29;25;21;22;12;
Amund;54;54;65;54;74;47;81;76;85;59;
Anas;16;24;17;20;13;24;21;17;14;8;
Anders;38;27;26;71;105;95;127;150;146;167;
Andre;19;20;18;39;40;32;44;45;58;67;
Andreas;189;220;228;303;326;368;410;379;459;445;
Anthony;9;9;6;11;5;12;8;9;11;4;
Anton;87;111;95;75;87;81;53;68;61;40;
Antoni;13;9;20;18;7;11;10;8;4;4;
Antonio;8;5;4;10;9;8;5;12;5;11;
Are;12;8;11;9;8;13;14;21;24;21;
Arian;39;28;32;25;41;38;29;26;15;23;
Arin;6;5;7;13;7;9;11;12;8;:;
Arman;12;13;14;13;14;15;16;11;9;6;
Armin;9;9;11;4;7;9;5;5;4;8;
Arn;15;15;11;19;20;23;18;6;10;7;
Arnas;7;11;6;8;4;9;7;:;:;4;
Arne;24;34;20;25;28;33;25;32;32;40;
Aron;123;109;134;145;146;137;121;90;88;74;
Arthur;39;24;32;22;18;20;18;19;20;13;
Artur;6;11;9;10;10;4;7;8;:;6;
Arvid;9;7;9;8;8;8;7;6;10;5;
Arvin;5;12;8;7;9;10;9;5;4;5;
Aryan;13;10;15;11;18;21;16;11;8;13;
Asbjørn;16;15;9;6;11;16;12;20;16;10;
Asgeir;:;6;:;:;:;:;6;:;:;10;
Ask;70;62;58;62;63;62;66;56;69;52;
Askil;4;5;5;7;6;11;10;15;12;4;
Aslak;27;27;34;25;35;31;31;17;20;37;
Atle;5;6;8;6;5;5;8;4;13;9;
Audun;18;24;24;27;20;30;28;27;29;20;
August;80;70;78;88;66;75;84;85;90;97;
Aune;5;6;12;10;8;4;6;:;:;:;
Axel;57;71;65;68;62;62;43;55;52;44;
Ayman;5;8;5;5;7;12;7;7;7;5;
Ayub;12;9;14;11;9;6;:;7;12;9;
Balder;19;11;20;14;18;29;28;20;23;8;
Bartosz;7;:;8;10;10;15;6;11;19;5;
Bastian;30;29;40;43;30;30;18;24;27;27;
Ben;7;6;5;5;10;5;6;7;6;:;
Benas;12;:;13;7;:;:;:;6;:;:;
Bendik;19;27;25;33;22;30;44;54;44;51;
Benjamin;255;240;257;296;323;340;338;291;326;322;
Bernard;8;10;:;5;:;5;5;4;5;:;
Bernhard;6;7;16;10;10;9;9;11;4;5;
Bilal;4;13;11;13;11;12;16;15;12;12;
Birk;76;72;87;85;81;85;84;76;80;56;
Bjørn;50;63;56;48;70;59;64;68;58;55;
Bjørnar;11;14;16;24;18;27;30;31;31;36;
Bo;20;19;21;18;22;21;13;21;20;19;
Brage;147;132;130;135;133;119;142;131;126;115;
Brede;15;13;19;23;17;18;21;22;15;27;
Brian;11;17;18;14;22;19;17;13;14;17;
Bror;7;8;6;12;14;15;13;14;15;16;
Bruno;11;4;7;:;:;4;7;9;:;:;
Brynjar;11;10;10;6;5;10;8;:;8;10;
Bård;:;:;5;5;7;4;:;:;8;12;
Carl;33;44;38;36;49;36;35;39;52;32;
Carlos;5;:;7;5;:;6;10;10;:;9;
Carsten;:;:;10;:;:;:;5;:;7;:;
Casper;110;93;98;100;112;134;136;104;96;117;
Caspian;43;38;46;31;13;26;12;4;:;5;
Charlie;21;23;18;9;13;10;8;9;:;:;
Chris;22;18;12;16;17;22;23;22;19;19;
Chrisander;12;5;13;9;8;7;8;9;7;4;
Christer;10;5;8;6;12;11;11;19;11;19;
Christian;114;120;130;109;150;191;159;178;174;171;
Christoffer;47;41;56;67;69;84;88;90;82;89;
Christopher;29;30;26;34;25;36;58;36;65;50;
Colin;19;26;27;25;14;14;16;17;11;13;
Conrad;12;9;11;10;14;20;13;15;15;13;
Cornelius;16;26;25;22;12;23;14;20;11;10;
Dag;5;7;6;6;12;8;9;13;10;14;
Damian;11;14;8;8;14;9;:;9;9;7;
Dan;4;6;7;6;:;4;9;13;6;12;
Dani;:;8;9;6;:;8;11;12;:;4;
Danial;9;6;4;4;6;6;10;9;6;5;
Daniel;255;303;305;340;391;423;427;416;412;450;
Darin;4;5;8;14;8;20;10;4;9;4;
David;158;153;175;185;138;161;156;176;190;217;
Dawid;12;10;14;13;20;11;16;12;15;14;
Denis;7;14;11;4;9;7;10;10;8;13;
Dennis;84;93;105;123;131;93;97;93;108;102;
Didrik;31;35;36;32;33;42;33;33;24;49;
Domas;6;4;6;11;:;:;6;:;:;:;
Dominic;11;15;13;6;6;6;5;15;7;:;
Dominik;7;11;15;13;11;16;10;15;12;7;
Dominykas;11;7;10;12;4;6;4;6;:;6;
Dovydas;:;7;10;6;8;5;10;4;5;:;
Edgar;10;4;11;11;4;7;7;9;6;7;
Edin;10;5;8;13;9;8;6;:;:;:;
Edvald;6;4;10;5;:;:;:;:;:;:;
Edvard;111;139;118;117;82;89;82;79;74;66;
Edvin;61;56;48;39;35;36;32;22;24;23;
Edward;33;34;37;34;28;15;21;20;16;15;
Edwin;26;21;31;12;16;13;:;12;6;7;
Eik;7;9;11;5;:;5;7;:;:;5;
Eilif;8;7;9;8;6;7;5;:;10;9;
Einar;52;68;55;68;47;59;51;47;41;55;
Eirik;118;147;170;201;184;197;209;230;215;271;
Eivind;60;45;62;88;81;66;78;75;92;108;
Eldar;11;11;16;10;8;9;9;11;5;7;
Eliah;22;19;22;11;12;12;15;4;4;:;
Elian;14;12;5;9;9;:;:;:;:;:;
Elias;324;313;318;346;365;345;339;435;465;406;
Elijah;11;10;6;7;8;5;5;:;:;:;
Elling;:;10;9;:;4;7;:;:;4;:;
Elliot;58;43;31;29;30;31;22;21;24;19;
Elliott;4;7;8;10;9;:;:;:;:;:;
Emanuel;12;9;14;10;16;17;16;13;8;10;
Embrik;10;5;8;4;4;9;4;6;5;4;
Emil;419;321;410;485;538;487;466;445;406;390;
Emilian;65;82;64;80;65;40;31;15;13;6;
Emilio;16;12;14;8;9;13;11;7;8;:;
Emilis;13;10;11;8;9;8;4;:;:;6;
Emin;10;5;9;:;7;4;6;6;6;:;
Emir;13;14;13;17;10;10;5;5;5;7;
Emmanuel;7;10;6;6;6;9;7;5;5;:;
Emmett;11;6;5;4;:;:;:;:;:;:;
Emre;19;22;16;20;9;16;16;23;13;16;
Emrik;103;89;48;63;55;38;25;13;10;5;
Endre;30;47;25;37;38;41;32;40;44;49;
Eren;:;4;:;4;10;6;6;:;:;:;
Eric;14;16;27;27;20;17;31;22;21;31;
Erik;174;208;202;217;224;223;217;239;225;239;
Erlend;33;53;62;56;81;76;97;97;114;125;
Erling;40;31;32;22;27;36;32;33;36;41;
Eskil;46;52;68;91;83;98;119;88;119;115;
Eskild;:;:;:;5;4;10;6;10;9;7;
Espen;14;15;13;22;20;36;35;39;64;56;
Evan;11;6;14;9;8;7;11;9;5;4;
Even;164;159;172;165;177;193;162;177;244;195;
Fabian;36;34;48;50;34;40;28;57;55;72;
Falk;21;13;12;15;7;15;5;13;13;4;
Felix;141;152;143;110;106;133;127;115;125;100;
Ferdinand;18;24;29;31;37;26;29;18;16;31;
Filip;207;259;172;205;196;216;167;169;168;146;
Fillip;35;44;38;37;35;30;24;31;19;23;
Finn;21;17;20;12;18;21;24;15;26;12;
Franciszek;12;13;4;11;15;9;4;:;:;:;
Frank;7;6;11;8;4;8;7;6;10;7;
Frederik;7;8;9;10;13;7;16;12;9;21;
Fredrik;151;146;200;224;189;248;248;254;262;308;
Gabriel;147;162;193;185;180;182;178;151;142;122;
Gard;9;23;18;22;22;25;25;28;32;22;
Gaute;18;11;29;17;19;16;28;28;20;26;
Geir;4;4;5;5;:;:;6;11;:;11;
Georg;50;54;35;35;33;30;36;25;23;13;
Gjermund;5;9;:;6;5;7;7;11;9;8;
Gunnar;12;6;17;12;8;13;16;16;16;15;
Gustas;:;10;7;5;11;:;:;:;:;:;
Gustav;103;103;106;68;85;74;59;71;59;53;
Haakon;52;55;54;59;65;61;54;46;57;37;
Hallvard;15;13;8;9;10;11;15;14;18;19;
Halvard;10;13;11;11;5;15;12;13;9;13;
Halvor;25;32;21;28;28;36;41;32;39;39;
Hamza;18;28;21;32;31;27;23;27;27;18;
Hans;63;64;66;73;81;80;105;79;95;75;
Harald;31;41;31;38;31;35;58;40;43;27;
Hassan;10;17;12;16;15;12;19;24;19;17;
Hauk;14;:;14;5;10;19;8;14;15;9;
Heine;30;45;38;34;46;56;42;36;48;41;
Helge;10;9;9;8;8;12;7;12;11;13;
Helmer;24;23;8;13;5;:;6;8;4;:;
Henning;11;16;20;21;24;25;22;28;45;46;
Henrik;354;304;346;332;323;348;385;422;401;426;
Henry;43;32;39;29;26;30;27;19;20;17;
Herman;174;152;156;161;162;150;161;161;180;163;
Hermann;9;12;9;9;12;15;18;19;13;15;
Hjalmar;13;15;7;6;7;4;5;6;:;8;
Hugo;28;25;40;24;18;23;14;9;11;9;
Hussein;12;15;6;10;11;7;13;11;8;10;
Håkon;197;203;200;202;207;208;200;171;190;213;
Håvard;53;43;71;61;96;86;104;109;104;130;
