 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Abigail;9;16;17;6;10;10;8;8;4;:;
Ada;108;128;128;109;95;99;91;101;71;76;
Adela;7;6;5;6;:;10;4;:;:;:;
Adele;47;69;78;59;49;50;58;45;41;47;
Adelen;36;50;6;7;9;:;:;7;:;:;
Adina;6;4;6;:;:;10;8;5;:;6;
Adine;9;8;10;7;8;11;12;8;10;9;
Adriana;16;19;24;24;24;27;17;18;12;7;
Agathe;11;12;7;8;14;10;14;12;17;8;
Agnes;124;93;82;99;78;68;67;54;55;59;
Agnethe;:;:;:;:;4;12;8;4;:;:;
Aida;9;12;11;15;16;10;9;10;15;12;
Aila;10;6;5;6;5;8;6;4;7;7;
Ailin;5;7;6;4;10;10;6;4;9;15;
Aimee;4;:;6;:;8;6;7;5;11;7;
Aina;9;11;14;7;8;12;6;8;12;12;
Aisha;45;36;39;37;36;41;25;25;21;30;
Ajla;:;4;5;:;6;:;:;:;6;10;
Alba;20;14;19;16;18;9;10;10;12;7;
Alea;7;5;12;8;6;5;:;:;:;:;
Aleksandra;27;31;23;32;32;25;35;48;27;38;
Alette;12;7;9;4;8;7;11;8;9;7;
Alexandra;45;68;83;66;82;88;88;80;73;97;
Alice;26;29;34;28;27;25;24;22;17;20;
Alicia;17;21;17;17;19;13;16;11;11;7;
Alicja;13;7;14;13;13;14;7;10;7;11;
Alida;27;37;29;37;43;30;30;26;24;27;
Alina;36;36;40;36;24;33;26;27;32;25;
Aline;14;14;15;9;7;5;9;:;10;4;
Alisa;10;19;8;12;16;9;4;15;8;4;
Alise;10;9;13;21;20;12;11;12;14;9;
Alisha;6;6;:;7;11;5;8;8;9;13;
Alma;160;186;158;155;144;131;96;67;58;49;
Alva;113;117;124;121;139;105;86;88;84;64;
Alvilde;24;27;26;22;13;20;14;15;14;7;
Amal;:;:;4;4;:;10;4;4;:;5;
Amalia;9;12;10;8;4;12;6;4;6;:;
Amalie;267;285;311;304;344;306;314;282;327;328;
Amanda;141;172;142;153;117;144;138;121;126;112;
Amelia;97;93;82;83;66;68;58;54;51;37;
Amelie;26;31;16;12;16;21;24;15;8;14;
Amina;40;46;37;34;39;36;33;27;33;33;
Aminda;6;10;:;4;:;:;4;:;:;:;
Amine;7;:;10;9;5;9;6;:;5;:;
Amira;15;25;14;27;12;22;20;13;8;7;
Amna;:;7;6;6;14;12;9;5;:;7;
Amy;4;11;18;8;6;13;18;11;18;17;
Ana;6;9;10;14;18;16;7;9;8;17;
Anastasia;7;9;6;8;8;6;11;10;11;10;
Andrea;111;125;137;160;185;210;247;226;275;348;
Andrine;35;26;36;48;73;42;54;50;67;83;
Ane;80;77;67;81;107;99;110;127;154;121;
Anea;9;13;11;9;5;11;4;:;5;4;
Anette;5;5;5;8;10;12;11;15;29;36;
Angela;5;9;4;:;8;6;12;7;7;10;
Angelica;42;50;58;61;57;70;91;90;84;37;
Angelika;7;9;5;:;11;9;6;15;9;5;
Angelina;9;7;12;20;13;21;19;23;22;20;
Anine;25;29;40;61;32;25;33;35;40;32;
Anisa;8;13;12;10;8;6;7;11;6;5;
Anita;8;9;13;12;16;11;14;14;16;15;
Anja;18;14;10;19;13;15;16;30;20;27;
Ann;10;9;12;10;9;17;20;18;18;28;
Anna;327;297;320;328;362;393;359;406;342;330;
Annabel;6;11;5;7;7;6;8;10;5;8;
Annabell;18;9;11;12;6;7;9;5;:;5;
Annabelle;14;11;11;12;7;8;4;:;7;:;
Anne;69;71;68;66;67;74;91;81;105;88;
Anneli;7;9;7;5;6;15;14;9;16;10;
Annie;11;11;15;11;14;14;13;12;12;10;
Annika;13;27;15;20;24;40;34;27;38;39;
Anniken;13;15;13;24;15;27;28;42;46;37;
Anny;6;8;:;7;10;7;:;4;10;4;
Aria;41;21;17;6;:;:;:;:;:;:;
Ariana;22;13;21;20;22;20;27;27;14;21;
Ariane;:;:;4;5;11;5;8;:;:;:;
Ariel;28;29;30;19;24;24;38;23;20;15;
Arya;18;15;5;6;:;:;:;:;4;:;
Asta;7;:;6;5;10;:;6;6;5;4;
Astri;10;7;7;16;15;10;11;13;11;14;
Astrid;115;136;126;104;109;104;101;91;103;91;
Augusta;:;9;11;9;7;:;6;6;4;8;
Aurora;209;195;220;198;239;222;239;213;272;208;
Ava;25;36;28;34;29;32;20;17;16;8;
Aya;13;13;18;18;15;19;16;10;10;14;
Ayla;20;8;10;11;13;11;7;12;12;16;
Aylin;12;16;14;8;6;6;10;11;6;9;
Beatrice;5;4;13;8;9;13;8;9;5;4;
Bella;16;20;10;21;13;9;6;5;:;:;
Benedicte;11;9;21;18;18;24;28;29;42;46;
Benedikte;9;4;6;7;12;22;13;8;20;30;
Bertine;10;15;25;20;17;22;30;31;31;42;
Betina;:;:;4;:;4;7;14;:;10;10;
Bettina;:;:;7;:;4;10;19;19;10;8;
Bianca;20;22;16;14;21;14;13;10;8;6;
Birgitte;8;5;5;:;6;7;7;7;7;10;
Bushra;:;:;:;:;10;8;:;:;:;:;
Camilla;34;32;53;53;59;61;64;77;114;115;
Carina;7;8;4;12;9;16;5;16;32;17;
Carla;9;10;10;4;9;9;9;8;4;4;
Carmen;26;25;26;29;37;45;34;26;49;26;
Caroline;58;41;53;68;85;82;98;83;84;95;
Cassandra;14;20;19;20;34;28;21;25;24;22;
Cathrine;6;4;6;10;4;11;19;19;20;16;
Cecilia;11;19;19;10;19;13;26;11;17;18;
Cecilie;12;17;26;22;29;31;31;35;41;42;
Celia;10;7;7;10;:;9;9;6;5;:;
Celin;6;12;:;5;6;6;7;10;7;8;
Celina;64;59;66;57;83;89;100;89;87;115;
Celine;140;114;132;138;141;138;138;133;153;158;
Charlotte;53;57;54;55;66;69;60;75;86;65;
Chloe;12;13;5;15;8;12;6;5;:;5;
Christiane;7;4;8;5;7;4;10;6;7;14;
Christina;17;23;35;26;30;42;44;59;83;55;
Christine;12;19;14;21;37;34;43;30;51;37;
Cindy;:;:;7;4;:;6;10;:;8;6;
Clara;20;22;20;33;23;17;18;25;18;16;
Cornelia;52;48;55;66;65;57;43;38;50;36;
Dania;8;6;4;10;5;5;4;:;6;4;
Daniela;4;:;6;6;5;4;12;14;14;11;
Daniella;9;16;12;15;19;18;13;14;12;17;
Delina;4;:;6;5;6;:;6;:;:;10;
Diana;20;15;16;18;15;14;12;20;20;16;
Dina;37;31;54;67;72;80;99;89;98;102;
Dominika;:;4;4;:;:;4;8;6;10;7;
Dorthe;:;4;5;4;6;5;:;7;10;:;
Dorthea;5;5;5;4;4;12;:;14;12;9;
Ea;19;20;27;18;9;10;11;4;8;10;
Ebba;35;26;32;20;39;23;18;19;22;17;
Edda;10;12;:;4;8;5;:;9;:;4;
Edel;11;13;14;13;7;9;9;11;10;8;
Edith;18;15;18;16;17;9;6;9;5;8;
Eileen;:;:;6;:;5;11;5;4;5;8;
Eir;11;11;17;12;8;11;14;9;7;8;
Eira;57;66;65;50;60;60;47;35;36;27;
Eiril;18;31;14;9;7;9;16;11;8;4;
Eirill;5;14;7;9;6;11;5;6;7;4;
Eirin;12;19;28;23;27;19;28;36;28;35;
Eivor;9;15;16;21;9;9;7;8;5;12;
Ela;9;7;9;11;13;5;6;5;4;:;
Elea;19;19;17;15;12;6;10;14;12;:;
Eleah;20;13;11;4;4;6;4;6;:;:;
Elena;60;53;64;44;36;37;42;42;38;33;
Eli;7;10;11;7;6;8;7;10;8;10;
Eliana;12;11;16;10;4;6;5;5;5;:;
Elida;73;80;77;57;48;40;47;43;42;41;
Elin;24;32;28;27;29;22;23;36;42;31;
Elina;44;33;51;47;51;41;35;50;45;38;
Eline;176;142;178;172;170;175;156;164;169;151;
Elisa;23;26;36;32;31;21;22;29;35;26;
Elisabeth;43;42;39;55;52;57;54;64;77;64;
Elise;180;140;207;195;192;210;197;190;221;216;
Eliza;8;7;19;9;13;17;8;13;7;4;
