Fornvan	Fullt navn	kjønn
Abid	Abid Q. Raja	mann
Anna	Anna Ljunggren	kvinne
Audun	Audun Lysbakken	mann
Anders	Anders Anundsen	mann
Anniken	Anniken Huitfeldt	kvinne
André	André N. Skjelstad	mann
Arve	Arve Kambe	mann
Åse	Åse Michaelsen	kvinne
Anette	Anette Trettebergstuen	kvinne
Anne	Anne Tingelstad Wøien	kvinne
Anders	Anders Tyvand	mann
Anders	Anders B. Werp	mann
Bente	Bente Stein Mathisen	kvinne
Bent	Bent Høie	mann
Bjørn	Bjørn Lødemel	mann
Bengt	Bengt Morten Wenstøb	mann
Bente	Bente Thorsen	kvinne
Bård	Bård Vegar Solhjell	mann
Bård	Bård Hoksrud	mann
Christian	Christian Tybring-Gjedde	mann
Christian	Christian Tynning Bjørnø	mann
Dag	Dag Terje Andersen	mann
Elin	Elin Rodum Agdestein	kvinne
Elisabeth	Elisabeth Vik Aspaker	kvinne
Else-May	Else-May Botten	kvinne
Eirik	Eirik Sivertsen	mann
Eirin	Eirin Sund	kvinne
Elisabeth	Elisabeth Røbekk Nørve	kvinne
Eirik	Eirik Milde	mann
Erna	Erna Solberg	kvinne
Eva	Eva Kristin Hansen	kvinne
Erlend	Erlend Wiborg	mann
Frank	Frank Bakke-Jensen	mann
Fredric	Fredric Holen Bjørdal	mann
Frank	Frank J. Jenssen	mann
Morten	Morten Stordalen	mann
Freddy	Freddy de Ruiter	mann
Gunnar	Gunnar Gundersen	mann
Geir	Geir Sigbjørn Toskedal	mann
Geir	Geir Jørgen Bekkevold	mann
Gjermund	Gjermund Hagesæter	mann
Geir	Geir Pollestad	mann
Gunvor	Gunvor Eldegard	kvinne
Henrik	Henrik Asheim	mann
Heikki	Heikki Eidsvoll Holmås	mann
Heidi	Heidi Greni	kvinne
Helge	Helge Orten	mann
Hans	Hans Fredrik Grøvan	mann
Hege	Hege Haukeland Liadal	kvinne
Hans	Hans Andreas Limi	mann
Helge	Helge André Njåstad	mann
Hans	Hans Olav Syversen	mann
Helga	Helga Pedersen	kvinne
Hadia	Hadia Tajik	kvinne
Harald	Harald T. Nesvik	mann
Ingunn	Ingunn Foss	kvinne
Ingebjørg	Ingebjørg Amanda Godskesen	kvinne
Ib	Ib Thomsen	mann
Ingrid	Ingrid Heggø	kvinne
Irene	Irene Johansen	kvinne
Ine	Ine M. Eriksen Søreide	kvinne
Iselin	Iselin Nybø	kvinne
Ingvild	Ingvild Kjerkol	kvinne
Ingjerd	Ingjerd Schou	kvinne
Jan	Jan Arild Ellingsen	mann
Jorodd	Jorodd Asphjell	mann
Jan	Jan Bøhler	mann
Jens	Jens Stoltenberg	mann
Jan-Henrik	Jan-Henrik Fredriksen	mann
Jette	Jette F. Christensen	kvinne
Jonas	Jonas Gahr Støre	mann
Jørund	Jørund Rytman	mann
Jenny	Jenny Klinge	kvinne
Janne	Janne Sjelmo Nordås	kvinne
Jan	Jan Tore Sanner	mann
Kårstein	Kårstein Eidem Løvaas	mann
Kari	Kari Henriksen	kvinne
Karianne	Karianne O. Tung	kvinne
Kent	Kent Gudmundsen	mann
Kenneth	Kenneth Svendsen	mann
Ketil	Ketil Kjenseth	mann
Kirsti	Kirsti Bergstø	kvinne
Kjell	Kjell Ingolf Ropstad	mann
Kjersti	Kjersti Toppe	kvinne
Kjell-Idar	Kjell-Idar Juvik	mann
Kari	Kari Kjønaas Kjos	kvinne
Knut	Knut Arild Hareide	mann
Knut	Knut Storberget	mann
Kristin	Kristin Ørmen Johnsen	kvinne
Kristin	Kristin Vinje	kvinne
Kåre	Kåre Simensen	mann
Karin	Karin Andersen	kvinne
Linda	Linda C. Hofstad Helleland	kvinne
Line	Line Henriette Hjemdal	kvinne
Lisbeth	Lisbeth Berg-Hansen	kvinne
Lise	Lise Christoffersen	kvinne
Liv	Liv Signe Navarsete	kvinne
Lene	Lene Vågslid	kvinne
Magne	Magne Rommetveit	mann
Martin	Martin Kolberg	mann
Marianne	Marianne Marthinsen	kvinne
Margunn	Margunn Ebbesen	kvinne
Mette	Mette Tønder	kvinne
Martin	Martin Henriksen	mann
Michael	Michael Tetzschner	mann
Marit	Marit Nybakk	kvinne
Morten	Morten Ørsal Johansen	mann
Morten	Morten Wold	mann
Mudassar	Mudassar Kapur	mann
Marit	Marit Arnstad	kvinne
Marianne	Marianne Aasen	kvinne
Nikolai	Nikolai Astrup	mann
Nils	Nils Aage Jegstad	mann
Norunn	Norunn Tveiten Benestad	kvinne
Ove	Ove Trellevik	mann
Odd	Odd Henriksen	mann
Odd	Odd Omland	mann
Oskar	Oskar J. Grimstad	mann
Ola	Ola Elvestuen	mann
Olemic	Olemic Thommessen	mann
Olaug	Olaug V. Bollestad	kvinne
Øyvind	Øyvind Korsberg	mann
Pål	Pål Farstad	mann
Peter	Peter Christian Frølich	mann
Per	Per Sandberg	mann
Per	Per Olaf Lundteigen	mann
Per	Per Rune Henriksen	mann
Rigmor	Rigmor Andersen Eide	kvinne
Rasmus	Rasmus Hansson	mann
Rigmor	Rigmor Aasrud	kvinne
Roy	Roy Steffensen	mann
Ruth	Ruth Grung	kvinne
Svein	Svein Flåtten	mann
Stein	Stein Erik Lauvås	mann
Svein	Svein Harberg	mann
Sivert	Sivert Bjørnstad	mann
Sigurd	Sigurd Hille	mann
Solveig	Solveig Horne	kvinne
Siv	Siv Jensen	kvinne
Siri	Siri A. Meling	kvinne
Sverre	Sverre Myrli	mann
Snorre	Snorre Serigstad Valen	mann
Sonja	Sonja Mandt	kvinne
Svein	Svein Roald Hansen	mann
Stefan	Stefan Heggelund	mann
Stine	Stine Renate Håheim	kvinne
Sveinung	Sveinung Rotevatn	mann
Sylvi	Sylvi Graham	kvinne
Tor	Tor André Johnsen	mann
Terje	Terje Breivik	mann
Terje	Terje Aasland	mann
Trond	Trond Giske	mann
Tina	Tina Bru	kvinne
Torgeir	Torgeir Knag Fylkesnes	mann
Tove	Tove Karoline Knutsen	kvinne
Torgeir	Torgeir Micaelsen	mann
Tone	Tone Merete Sønsterud	kvinne
Trygve	Trygve Slagsvold Vedum	mann
Torill	Torill Eidsheim	kvinne
Tore	Tore Hagebakken	mann
Torbjørn	Torbjørn Røe Isaksen	mann
Trond	Trond Helleland	mann
Trine	Trine Skei Grande	kvinne
Torstein	Torstein Tvedt Solberg	mann
Tone	Tone Wilhelmsen Trøen	kvinne
Ulf	Ulf Leirstein	mann
Øyvind	Øyvind Halleraker	mann
Arild	Arild Grande	mann
Åsmund	Åsmund Aukrust	mann
André	André Oktay Dahl	mann
Arne	Arne Sortevik	mann
Åge	Åge Starheim	mann
Aksel	Aksel Hagen	mann
Alf	Alf Egil Holmelid	mann
Anna	Anna Ljunggren	kvinne
Audun	Audun Lysbakken	mann
Anders	Anders Anundsen	mann
Anne	Anne Marit Bjørnflaten	kvinne
Anniken	Anniken Huitfeldt	kvinne
Anne-Grete	Anne-Grete Strøm-Erichsen	kvinne
Arve	Arve Kambe	mann
Åse	Åse Michaelsen	kvinne
Anette	Anette Trettebergstuen	kvinne
Anne	Anne Tingelstad Wøien	kvinne
Anders	Anders B. Werp	mann
Bendiks	Bendiks H. Arnesen	mann
Bent	Bent Høie	mann
Bjørn	Bjørn Lødemel	mann
Borghild	Borghild Tenden	kvinne
Bente	Bente Thorsen	kvinne
Bård	Bård Vegar Solhjell	mann
Bård	Bård Hoksrud	mann
Christian	Christian Tybring-Gjedde	mann
Dagrun	Dagrun Eriksen	kvinne
Dagfinn	Dagfinn Høybråten	mann
Dag	Dag Ole Teigen	mann
Dag	Dag Terje Andersen	mann
Elisabeth	Elisabeth Vik Aspaker	kvinne
Else-May	Else-May Botten	kvinne
Eirik	Eirik Sivertsen	mann
Eirin	Eirin Sund	kvinne
Elisabeth	Elisabeth Røbekk Nørve	kvinne
Erna	Erna Solberg	kvinne
Eva	Eva Kristin Hansen	kvinne
Frank	Frank Bakke-Jensen	mann
Freddy	Freddy de Ruiter	mann
Gunnar	Gunnar Gundersen	mann
Geir-Ketil	Geir-Ketil Hansen	mann
Geir	Geir Jørgen Bekkevold	mann
Gjermund	Gjermund Hagesæter	mann
Gerd	Gerd Janne Kristoffersen	kvinne
Gunn	Gunn Karin Gjul	kvinne
Gorm	Gorm Kjernli	mann
Gunvor	Gunvor Eldegard	kvinne
Gunn	Gunn Olsen	kvinne
Hans	Hans Frode Kielland Asmyhr	mann
Heikki	Heikki Eidsvoll Holmås	mann
Henning	Henning Warloe	mann
Hallgeir	Hallgeir H. Langeland	mann
Hilde	Hilde Magnusson	kvinne
Hans	Hans Olav Syversen	mann
Helga	Helga Pedersen	kvinne
Henning	Henning Skumsvoll	mann
Hadia	Hadia Tajik	kvinne
Harald	Harald T. Nesvik	mann
Ingebjørg	Ingebjørg Amanda Godskesen	kvinne
Ib	Ib Thomsen	mann
Ingrid	Ingrid Heggø	kvinne
Irene	Irene Johansen	kvinne
Ine	Ine M. Eriksen Søreide	kvinne
Inga	Inga Marte Thorkildsen	kvinne
Ingalill	Ingalill Olsen	kvinne
Irene	Irene Lange Nordahl	kvinne
Ingjerd	Ingjerd Schou	kvinne
Ivar	Ivar Kristiansen	mann
Jan	Jan Arild Ellingsen	mann
Jorodd	Jorodd Asphjell	mann
Jan	Jan Bøhler	mann
Jens	Jens Stoltenberg	mann
Jan-Henrik	Jan-Henrik Fredriksen	mann
Jonas	Jonas Gahr Støre	mann
Jørund	Jørund Rytman	mann
Jenny	Jenny Klinge	kvinne
Jon	Jon Jæger Gåsvatn	mann
