Navn	dato
Abraham	20. desember
Ada	4. mars
Adam	24. desember
Adrian	4. mars
Agate	5. februar
Agnar	21. juni
Agnes	21. januar
Agnete	21. januar
Ahmed	21. juni
Aina	27. juni
Aisha	6. januar
Aksel	30. oktober
Albert	24. april
Aleksander	18. mars
Aleksandra	17. februar
Alf	3. januar
Alfred	3. januar
Ali	7. mars
Alise	3. september
Allan	8. september
Alma	8. september
Alva	3. januar
Alvhild	3. september
Amalie	8. september
Amanda	26. oktober
Amandus	26. oktober
Amina	10. juli
Amund	20. desember
Anders	30. november
Andor	6. mars
Andrea	3. juli
Andreas	30. november
Andrine	3. juli
André	3. juli
Ane	26. juli
Anette	9. desember
Anine	13. august
Anita	10. juli
Anja	10. juli
Ann	13. august
Anna	26. juli
Annar	21. juni
Annbjørg	26. mai
Anne	26. juli
Annette	9. desember
Annfrid	6. mars
Annika	9. desember
Anniken	9. desember
Annlaug	26. mai
Anny	13. august
Ansgar	3. februar
Anton	17. januar
Are	7. mars
Arild	7. mars
Arna	4. august
Arne	4. august
Arnfinn	19. april
Arnhild	4. august
Arnljot	1. desember
Arnold	1. desember
Arnstein	19. april
Arnt	1. desember
Arnulf	18. juli
Aron	1. april
Artur	28. august
Arve	1. april
Arvid	1. april
Asbjørg	10. mai
Asbjørn	10. mai
Asgeir	3. februar
Ask	1. juli
Aslak	15. september
Aslaug	6. januar
Asle	8. april
Asmund	6. april
Asta	13. april
Astrid	13. april
Atle	8. april
Aud	30. juli
Audhild	30. juli
Audny	1. mars
Audun	1. mars
August	28. august
Aurora	30. juli
Barbara	4. desember
Barbro	4. desember
Bastian	20. januar
Beate	8. mars
Belinda	24. august
Ben	30. august
Bendik	21. mars
Benedikte	8. oktober
Bengt	21. mars
Benjamin	30. august
Bent	21. mars
Bente	8. oktober
Bergljot	21. oktober
Berit	7. oktober
Bernhard	20. august
Bernt	20. august
Berta	31. august
Berte	31. august
Bertil	24. august
Bettina	8. mars
Betty	8. mars
Birger	21. oktober
Birgit	7. oktober
Birgitte	7. oktober
Birte	1. februar
Bjarne	18. juni
Bjarte	1. februar
Bjørg	11. juni
Bjørge	11. juni
Bjørn	18. juni
Bjørnar	20. mai
Bjørnhild	20. mai
Bo	5. oktober
Bodil	17. juni
Borgar	11. juni
Borghild	2. desember
Borgny	2. desember
Botolv	17. juni
Boye	5. oktober
Brede	5. september
Brian	5. september
Brit	23. juli
Brita	23. juli
Britt	23. juli
Bror	20. mai
Brynhild	16. august
Brynjar	5. oktober
Brynjulf	16. august
Bård	2. desember
Børge	11. januar
Børre	11. januar
Camilla	12. august
Carmen	27. mai
Cato	27. mai
Cecilie	22. november
Celine	21. februar
Charles	27. april
Charlotte	27. april
Chris	15. mars
Christel	15. mars
Christer	15. mars
Connie	19. september
Dag	11. september
Dagfinn	2. januar
Dagfrid	2. januar
Dagmar	27. september
Dagny	11. september
Dagrun	27. september
Dan	11. desember
Daniel	11. desember
David	30. desember
Diana	30. desember
Didrik	7. august
Dina	30. desember
Doris	7. august
Dorte	6. februar
Dortea	6. februar
Edel	10. mars
Edgar	16. november
Edit	31. oktober
Edle	10. mars
Edmund	16. november
Edna	31. oktober
Edvard	18. mars
Edvin	11. mars
Egil	5. november
Egon	5. november
Eilen	18. april
Eilert	18. april
Eilif	24. oktober
Einar	26. september
Eira	15. november
Eirik	18. mai
Eiril	5. april
Eirin	5. april
Eivind	26. august
Eivor	24. oktober
Eldar	12. juli
Eldbjørg	7. januar
Eldrid	23. juni
Elfrid	23. juni
Eli	21. mai
Elias	12. juli
Elin	31. juli
Eline	31. juli
Elisabeth	19. november
Elise	17. april
Ella	19. februar
Ellen	21. mai
Elling	19. juni
Ellinor	14. april
Elna	19. februar
Elsa	17. april
Else	17. april
Embla	1. juli
Emil	23. januar
Emilie	23. januar
Emma	23. januar
Endre	26. september
Erik	18. mai
Erika	18. mai
Erland	14. juni
Erlend	14. juni
Erling	19. juni
Erna	2. mars
Ernst	2. mars
Eskil	15. september
Espen	10. mai
Esten	26. januar
Ester	24. mai
Eva	24. desember
Evald	3. oktober
Evelyn	3. oktober
Even	26. august
Evy	8. august
Eystein	26. januar
Fabian	20. januar
Fatima	18. februar
Filip	1. mai
Finn	16. oktober
Flemming	16. oktober
Frank	4. oktober
Frans	4. oktober
Fred	14. november
Freddy	14. november
Fredrik	14. november
Frida	10. oktober
Fridtjof	10. oktober
Frits	10. oktober
Frode	18. februar
Frøydis	18. februar
Gabriel	26. mars
Gard	30. mai
Gaute	27. januar
Geir	30. mai
Georg	23. april
Gerd	23. mars
Gerda	23. mars
Gerhard	19. juli
Gina	30. april
Gislaug	13. januar
Gisle	13. januar
Gitte	30. april
Gjermund	3. mai
Gjert	19. juli
Gjertrud	17. mars
Glenn	26. mars
Gorm	17. juli
Gregor	12. mars
Greta	13. mars
Grete	13. mars
Gro	12. mars
Gry	27. januar
Gudbjørg	10. november
Gudbrand	5. mai
Gudmund	16. mars
Gudny	16. mars
Gudrun	24. november
Gudveig	10. november
Gullborg	5. mai
Gunda	30. januar
Gunn	9. januar
Gunnar	9. januar
Gunnbjørg	3. mars
Gunnhild	30. januar
Gunnlaug	6. august
Gunnleiv	6. august
Gunnvald	3. april
Gunnveig	3. mars
Gunvor	3. april
Guri	6. mai
Gurli	27. januar
Guro	24. november
Gustav	6. juni
Guttorm	17. juli
Gyda	6. juni
Gyri	6. mai
